feature,mean_abs_shap,rank_shap,cpf_importance_mean,rank_cpf,class_id,class_name,shap_top_k,cpf_top_k,strict_intersection,shap_normalized,cpf_normalized,consensus_score
conn_state,1.7035739551204214,4,0.0902893927628424,3,6,password,True,True,True,0.30364824644740884,0.27800433540234376,0.29082629092487633
src_pkts,0.1677466495032193,9,0.0012652045578811055,7,6,password,True,True,True,0.029899480334260046,0.0038956110069942175,0.01689754567062713
src_ip_bytes,5.610353344870958,1,0.20546740303887975,2,6,password,True,True,True,1.0,0.6326416324307889,0.8163208162153944
dst_pkts,1.7955957890777237,3,0.000367369578568133,10,6,password,True,True,True,0.32005039231963445,0.0011311443394589262,0.1605907683295467
dst_ip_bytes,1.628560414205974,5,0.0010104540455245115,9,6,password,True,True,True,0.2902776909220558,0.0031112248824012143,0.14669445790222851
dns_query,0.4643211065521388,8,0.002004588328672807,6,6,password,True,True,True,0.08276147294298779,0.0061722006208610024,0.044466836781924396
dns_rcode,0.0648774355976531,12,-7.324591019672866e-05,12,6,password,False,False,False,0.011563876927103835,0.0,0.005781938463551918
dns_AA,0.00045559099782884924,14,-7.521618300416754e-05,13,6,password,False,False,False,8.120540183896887e-05,0.0,4.0602700919484436e-05
dns_RD,0.1045586875913338,11,-0.00014056544882972143,14,6,password,False,False,False,0.018636738394903846,0.0,0.009318369197451923
proto,0.3299311004872473,7,0.029842051206210397,6,7,ransomware,True,True,True,0.059596710322349054,0.08436940110905046,0.07198305571569975
service,0.025783832910213463,11,0.0,13,7,ransomware,False,False,False,0.004657431865866907,0.0,0.0023287159329334534
duration,5.536062287711903,1,0.1361273904701832,3,7,ransomware,True,True,True,1.0,0.38485914822494144,0.6924295741124707
src_bytes,0.08153194111823023,10,7.625744652852706e-05,10,7,ransomware,True,True,True,0.01472742481586637,0.00021559493512223236,0.0074715098754943015
dst_bytes,0.0004543686006763677,13,0.0,14,7,ransomware,False,False,False,8.207432956180878e-05,0.0,4.103716478090439e-05
conn_state,3.543387106458652,2,0.35370704086945554,1,7,ransomware,True,True,True,0.6400554983501028,1.0,0.8200277491750514
src_pkts,1.587340249611141,4,0.10820404078456927,4,7,ransomware,True,True,True,0.2867273103365318,0.3059142970934093,0.29632080371497055
src_ip_bytes,3.1574163069162235,3,0.22972458015091296,2,7,ransomware,True,True,True,0.5703361239133038,0.6494769784232217,0.6099065511682628
dst_pkts,0.5442099249983801,6,0.019079391843381456,8,7,ransomware,True,True,True,0.09830270988936185,0.053941227170604115,0.07612196852998299
dst_ip_bytes,1.5655303984595939,5,0.09933059964426734,5,7,ransomware,True,True,True,0.2827877139197868,0.2808273179976867,0.28180751595873677
dns_query,0.0050985073689701985,12,0.02506264999431913,7,7,ransomware,False,True,False,0.000920962789795028,0.07085708537978787,0.03588902408479145
dns_rcode,0.0,14,3.633834760763399e-05,11,7,ransomware,False,False,False,0.0,0.00010273572026813447,5.1367860134067234e-05
dns_AA,0.22264178672566604,8,0.0001336799814433798,9,7,ransomware,True,True,True,0.04021663325932079,0.00037793983720193385,0.02029728654826136
dns_RD,0.08515860396300282,9,3.171128322800865e-05,12,7,ransomware,True,False,False,0.015382522727756288,8.965409099592251e-05,0.007736088409376105
proto,0.11522292757406782,9,0.08646981474175175,2,8,scanning,True,True,True,0.007352934421233719,0.10950906193299123,0.058430998177112475
service,0.014598926954199181,13,-0.00017650765047372285,13,8,scanning,False,False,False,0.0009316284074244183,0.0,0.00046581420371220915
duration,2.0322702611808507,2,0.004779710446443941,5,8,scanning,True,True,True,0.12968903213364835,0.006053229197548654,0.06787113066559851
src_bytes,0.1987170242588477,7,0.000997571396832142,8,8,scanning,True,True,True,0.012681098098455761,0.0012633669703645592,0.00697223253441016
dst_bytes,0.3350933835816518,5,0.0005988354654921757,9,8,scanning,True,True,True,0.021383935700482352,0.0007583907780317026,0.011071163239257028
conn_state,1.1176993732915055,3,0.07909639528545578,3,8,scanning,True,True,True,0.0713258234927551,0.10017104900548626,0.08574843624912068
src_pkts,0.13249499887201627,8,0.0005642276929214596,10,8,scanning,True,True,True,0.008455149147474288,0.0007145620185839332,0.004584855583029111
src_ip_bytes,15.670332546599136,1,0.7896133271113469,1,8,scanning,True,True,True,1.0,1.0,1.0
dst_pkts,0.09910653286613307,10,0.00365784106473539,6,8,scanning,True,True,True,0.00632446902906612,0.004632445956955817,0.005478457493010969
dst_ip_bytes,0.22709531198711144,6,0.0011212154291811327,7,8,scanning,True,True,True,0.014492054416317856,0.0014199550472164524,0.007956004731767155
dns_query,0.40693733684530226,4,0.006904392732269837,4,8,scanning,True,True,True,0.025968647164007895,0.008744017476919077,0.017356332320463484
dns_rcode,0.019005091092165242,12,-0.00014834776669223615,12,8,scanning,False,False,False,0.0012128071332021498,0.0,0.0006064035666010749
dns_AA,0.007392068554649574,14,-0.00018233110880083725,14,8,scanning,False,False,False,0.00047172378331268035,0.0,0.00023586189165634018
dns_RD,0.01953338787208453,11,0.000137833126197906,11,8,scanning,False,False,False,0.0012465203156345125,0.00017455775056652448,0.0007105390331005185
proto,0.1834916060230479,10,0.033856241826051,7,9,xss,True,True,True,0.06143471233731057,0.06806525506386672,0.06474998370058865
service,0.18362629243282047,9,0.0005741101980058616,11,9,xss,True,False,False,0.0614798066117543,0.001154202444051775,0.031317004527903036
duration,0.9085594810412218,4,0.06978405446235843,4,9,xss,True,True,True,0.3041942439159457,0.14029523686578707,0.2222447403908664
src_bytes,1.7110798594029863,2,0.07089597390000638,3,9,xss,True,True,True,0.5728856007472324,0.14253066159257244,0.3577081311699024
dst_bytes,0.7315303303522465,6,0.007019573451865768,9,9,xss,True,True,True,0.2449232222947739,0.01411228865553387,0.12951775547515387
conn_state,2.9867740735168975,1,0.4974085793740602,1,9,xss,True,True,True,1.0,1.0,1.0
src_pkts,0.8644909603433996,5,0.05148581370457126,6,9,xss,True,True,True,0.2894396894658557,0.1035080934256524,0.19647389144575406
src_ip_bytes,1.3259142262671484,3,0.258832683167395,2,9,xss,True,True,True,0.44392853079305633,0.5203623216413165,0.48214542621718637
dst_pkts,0.17355899898522775,11,0.005641967734881614,10,9,xss,False,True,False,0.05810918225256446,0.011342723002448965,0.03472595262750671
dst_ip_bytes,0.39321615698569284,8,0.007765744407634933,8,9,xss,True,True,True,0.13165246091837293,0.015612405434195283,0.07363243317628411
dns_query,0.5628388495080778,7,0.05337085014688765,5,9,xss,True,True,True,0.18844373081266924,0.10729780779826842,0.14787076930546883
dns_rcode,0.07341348842477824,13,0.00028477145662442194,12,9,xss,False,False,False,0.024579525139085786,0.0005725101424321607,0.012576017640758974
dns_AA,0.06410204444609206,14,4.354716974244166e-05,14,9,xss,False,False,False,0.021461966278089634,8.754808732338613e-05,0.010774757182706509
dns_RD,0.07978939079977436,12,0.00020758519082175741,13,9,xss,False,False,False,0.02671423711195642,0.0004173333541672783,0.01356578523306185
