feature,sage_importance,rank_sage,mean_abs_shap,rank_shap,cpf_importance_mean,rank_cpf,macro_sage_importance,macro_sage_rank,class_id,class_name,shap_top_k,cpf_top_k,strict_intersection,shap_normalized,cpf_normalized,consensus_score
dns_AA,0.026644070011008457,16,0.008412251743398396,17,0.0003536509306500957,14,0.0235338103312088,14,1,ddos,False,False,False,0.0033641630055756904,0.0021899808585247992,0.002777071932050245
dns_RD,0.02892006077287331,15,0.054377086946022495,13,0.0003197847956516009,15,0.018697463973080343,16,1,ddos,False,False,False,0.021746066313141497,0.001980265059777755,0.011863165686459625
dns_RA,0.039162628114914,14,0.008638759199201644,16,8.716261824002203e-05,16,0.0505208623989879,12,1,ddos,False,False,False,0.0034547461248812146,0.0005397538900114333,0.001997250007446324
dns_rejected,0.05986561199141863,13,0.1226950234166356,9,0.0009694558462724379,11,0.04021014055472282,13,1,ddos,True,False,False,0.049067249927513296,0.0060033483939059586,0.027535299160709625
proto,0.16085905070361048,8,0.009350769043785569,17,0.0009263362693793242,12,0.271515496702724,8,2,dos,False,False,False,0.0021125458936482417,0.0017610175967019564,0.001936781745175099
service,0.04829637982352883,11,0.015486529753287497,16,0.0007930931029523469,13,0.1254928627291434,11,2,dos,False,False,False,0.0034987501759453214,0.001507714807558859,0.00250323249175209
duration,0.5830403357216233,3,0.9103075275610975,4,0.01642307050068288,3,0.6406316954085823,3,2,dos,True,True,True,0.20565863837523948,0.031221185113433584,0.11843991174433653
src_bytes,0.32233568849438987,4,0.44572941494118645,5,0.008594541387044408,7,0.45461939666942736,5,2,dos,True,True,True,0.10070014998798744,0.016338708866823797,0.05851942942740562
dst_bytes,0.13138837856757193,9,0.09555074678198543,10,0.004604757986744423,8,0.21373238035545533,10,2,dos,True,True,True,0.021587030628615236,0.008753905154382156,0.015170467891498696
conn_state,1.4162910464064649,2,3.1584281506030165,2,0.20850465900586262,2,1.001224450605037,2,2,dos,True,True,True,0.7135588943215078,0.396379139672128,0.5549690169968179
src_pkts,0.23580031168108087,7,1.1436190138248539,3,0.011489853635614455,4,0.34503084440975285,6,2,dos,True,True,True,0.25836887214740506,0.021842861069667863,0.14010586660853647
src_ip_bytes,2.128693146293926,1,4.426303386781029,1,0.52602328966739,1,1.7985686875346651,1,2,dos,True,True,True,1.0,1.0,1.0
dst_pkts,0.25418028838484735,6,0.23896448742257487,7,0.004172111643114396,9,0.3083056293037751,7,2,dos,True,True,True,0.0539873719764064,0.007931420005666413,0.030959395991036406
dst_ip_bytes,0.27025591850711217,5,0.24122838924670045,6,0.011440546577956479,5,0.47135441250270754,4,2,dos,True,True,True,0.0544988375553106,0.021749125566646405,0.0381239815609785
dns_query,0.12939970913602575,10,0.19159233245698806,8,0.011237635480959463,6,0.23708077438241887,9,2,dos,True,True,True,0.043284952637718095,0.02136338010445343,0.03232416637108576
dns_qclass,0.003894676672387429,18,0.023461120074528573,15,-2.274066051213275e-05,18,0.006615281678890859,18,2,dos,False,False,False,0.00530038680687687,0.0,0.002650193403438435
dns_qtype,0.01319766429057351,16,0.023768876750799275,14,0.0006031896881647292,15,0.01211968321655753,17,2,dos,False,False,False,0.005369915858407725,0.0011466976843290196,0.0032583067713683727
dns_rcode,0.010437121380742133,17,0.005949382866943762,18,0.00033572756194464313,17,0.023254389568787247,15,2,dos,False,False,False,0.0013440973984547345,0.0006382370677103045,0.0009911672330825195
dns_AA,0.01606638936058003,15,0.09378015222176354,11,0.0018145794752204348,10,0.0235338103312088,14,2,dos,False,True,False,0.021187014089868776,0.003449618126923263,0.012318316108396019
dns_RD,0.022150858836223235,14,0.027431088882559716,13,0.0003456708960675181,16,0.018697463973080343,16,2,dos,False,False,False,0.006197290715426674,0.0006571399077901844,0.003427215311608429
dns_RA,0.04538443653115899,12,0.09918380715582593,9,0.0006110671662103107,14,0.0505208623989879,12,2,dos,True,False,False,0.022407819457661723,0.0011616732152614285,0.011784746336461576
dns_rejected,0.029505095032580274,13,0.02846118092420794,12,0.001331876730850734,11,0.04021014055472282,13,2,dos,False,False,False,0.006430011329364831,0.0025319729316412845,0.004480992130503058
proto,0.17189416776785912,8,0.04405363414146622,10,0.0022553687612951955,10,0.271515496702724,8,3,injection,True,True,True,0.013393126361634117,0.012791268699466191,0.013092197530550154
service,0.1005982720223874,11,0.03482289135722706,11,0.00016822873995687716,13,0.1254928627291434,11,3,injection,False,False,False,0.010586808405570419,0.0009541051790241554,0.005770456792297287
duration,0.49350869759981236,6,0.8906954625267169,5,0.04391388315055165,4,0.6406316954085823,3,3,injection,True,True,True,0.27078803172167604,0.2490565129105939,0.25992227231613496
src_bytes,1.038053929684657,1,3.2892718960422895,1,0.17632095879506599,1,0.45461939666942736,5,3,injection,True,True,True,1.0,1.0,1.0
dst_bytes,0.627319858338092,4,1.8265467704790088,2,0.015032828103543117,8,0.21373238035545533,10,3,injection,True,True,True,0.555304282591154,0.08525831646035595,0.320281299525755
conn_state,0.9210163348632431,2,1.3261042181390053,4,0.038423677014923954,5,1.001224450605037,2,3,injection,True,True,True,0.4031604136266745,0.21791894325837327,0.3105396784425239
src_pkts,0.10435906103801931,10,0.26839287090586966,7,0.06282945814880389,3,0.34503084440975285,6,3,injection,True,True,True,0.08159643817490574,0.3563357333022968,0.21896608573860127
src_ip_bytes,0.7633945367652926,3,0.33840991233606177,6,0.016526824959260923,6,1.7985686875346651,1,3,injection,True,True,True,0.10288292455945725,0.09373148304206814,0.09830720380076269
dst_pkts,0.1880235045633586,7,0.2318413110839279,8,0.005394334502658716,9,0.3083056293037751,7,3,injection,True,True,True,0.0704840823170877,0.030593836033573487,0.0505389591753306
dst_ip_bytes,0.5445585919622152,5,1.5229682411401404,3,0.0726562184567573,2,0.47135441250270754,4,3,injection,True,True,True,0.46301074805418274,0.4120679637478834,0.4375393559010331
dns_query,0.14427243297329306,9,0.19850313360638472,9,0.016320691807803912,7,0.23708077438241887,9,3,injection,True,True,True,0.060348654620260254,0.0925624039214368,0.07645552927084853
dns_qclass,0.005035622654163256,17,0.0012809090788649285,18,2.8757606173246407e-05,18,0.006615281678890859,18,3,injection,False,False,False,0.00038942024841611333,0.00016309805918575312,0.0002762591538009332
dns_qtype,0.014181353959590057,14,0.03104683135157364,12,0.00035372541593290394,12,0.01211968321655753,17,3,injection,False,False,False,0.009438815741845403,0.002006145034317964,0.005722480388081683
dns_rcode,0.013663390786885842,15,0.010488226316356875,13,0.00011815927502325518,14,0.023254389568787247,15,3,injection,False,False,False,0.0031886164013915953,0.0006701374347708099,0.0019293769180812026
dns_AA,0.0010096678972563305,18,0.00209987889568339,16,6.81683938930977e-05,17,0.0235338103312088,14,3,injection,False,False,False,0.0006384023461879214,0.0003866153766344269,0.0005125088614111741
dns_RD,0.011968023242339011,16,0.0018749584971980158,17,9.640896292857359e-05,16,0.018697463973080343,16,3,injection,False,False,False,0.0005700223503730412,0.0005467810723546917,0.0005584017113638665
dns_RA,0.021899609700977235,13,0.006288671134310978,14,0.00010093643512962825,15,0.0505208623989879,12,3,injection,False,False,False,0.001911873306027884,0.0005724585200727299,0.001242165913050307
dns_rejected,0.02495764338064451,12,0.004147165473978679,15,0.0008097566865494565,11,0.04021014055472282,13,3,injection,False,False,False,0.0012608156470642095,0.004592515218174483,0.0029266654326193463
proto,0.24675466751877828,11,0.3251671851310462,11,0.0399773849983595,11,0.271515496702724,8,4,mitm,False,False,False,0.16403276225566182,0.08472457303193819,0.12437866764380001
service,0.26449708319922544,10,0.9000117625570174,5,0.10716393564768316,7,0.1254928627291434,11,4,mitm,True,True,True,0.45401695566333733,0.22711387181889553,0.34056541374111643
duration,0.41913950569698444,7,1.085083670948962,4,0.23242554946858046,3,0.6406316954085823,3,4,mitm,True,True,True,0.5473777181806956,0.49258237979415587,0.5199800489874258
src_bytes,0.8304393955388857,2,0.8404610688073563,6,0.11500725284728348,6,0.45461939666942736,5,4,mitm,True,True,True,0.42397620974347716,0.24373631225409317,0.3338562609987852
dst_bytes,0.269259670965515,9,0.7463755934713105,8,0.14093646419186173,4,0.21373238035545533,10,4,mitm,True,True,True,0.37651416217773404,0.2986884148069347,0.3376012884923344
conn_state,0.6974765761535919,4,0.41031585896253303,10,0.026448744549063607,12,1.001224450605037,2,4,mitm,True,False,False,0.20698658050566834,0.05605315578400568,0.13151986814483702
src_pkts,0.5468148503883378,6,0.7982698473508565,7,0.1050438402390669,8,0.34503084440975285,6,4,mitm,True,True,True,0.4026925657753416,0.22262072704993788,0.31265664641263974
src_ip_bytes,0.7595509100926308,3,0.4638501089402094,9,0.08711157565250587,9,1.7985686875346651,1,4,mitm,True,True,True,0.23399229110830605,0.18461665398076452,0.20930447254453527
dst_pkts,0.4075510097391405,8,1.300985171460118,3,0.12533635540239346,5,0.3083056293037751,7,4,mitm,True,True,True,0.6562906747255403,0.2656269087456022,0.4609587917355712
dst_ip_bytes,1.041764445246145,1,1.9823307286884548,1,0.3361925462031653,2,0.47135441250270754,4,4,mitm,True,True,True,1.0,0.7124970764033761,0.856248538201688
dns_query,0.6793144509927639,5,1.5391127672007867,2,0.47185112379721794,1,0.23708077438241887,9,4,mitm,True,True,True,0.7764157337252654,1.0,0.8882078668626328
dns_qclass,0.0021761500918961504,18,0.001384257417319056,17,0.0007822395152546014,18,0.006615281678890859,18,4,mitm,False,False,False,0.0006982979163294841,0.0016578100078675992,0.0011780539620985415
dns_qtype,0.0203197040530755,16,0.056622974771693514,16,0.008702732959087123,13,0.01211968321655753,17,4,mitm,False,False,False,0.02856383849185261,0.018443811024655307,0.02350382475825396
dns_rcode,0.03431013119643447,14,0.1492353495065567,13,0.008449216362717471,14,0.023254389568787247,15,4,mitm,False,False,False,0.07528277060271041,0.017906530124846314,0.04659465036377836
dns_AA,0.03420444469242575,15,0.09168104710437988,15,0.04137263022363837,10,0.0235338103312088,14,4,mitm,False,True,False,0.04624911765608239,0.08768153372337546,0.06696532568972893
dns_RD,0.012571830583602117,17,0.0003949583881804766,18,0.0026683677513783532,16,0.018697463973080343,16,4,mitm,False,False,False,0.00019923940161175227,0.005655105216036546,0.002927172308824149
dns_RA,0.08449475607346692,12,0.16643976947169353,12,0.00520514762699893,15,0.0505208623989879,12,4,mitm,False,False,False,0.08396165537009712,0.011031334597892972,0.047496494983995045
dns_rejected,0.08068333085425504,13,0.13947814024670038,14,0.0011024528468962958,17,0.04021014055472282,13,4,mitm,False,False,False,0.07036068110540848,0.002336442134596005,0.036348561620002245
proto,0.735679378242477,2,2.097297743184015,1,0.06524997807032903,2,0.271515496702724,8,5,normal,True,True,True,1.0,0.693822372549708,0.846911186274854
service,0.13077863841570944,11,0.4099050551260962,8,0.0017395702797289748,11,0.1254928627291434,11,5,normal,True,False,False,0.19544437906264964,0.018497366809803593,0.10697087293622662
duration,0.35116544010753825,6,0.5489731178496274,7,0.04203201929889104,3,0.6406316954085823,3,5,normal,True,True,True,0.26175259074860935,0.4469389295668255,0.35434576015771746
src_bytes,0.23600235270681374,9,0.13224746669014864,14,0.03005525470152428,4,0.45461939666942736,5,5,normal,False,True,False,0.06305612406246955,0.31958643882027266,0.19132128144137112
dst_bytes,0.13955031311331154,10,0.14754013241530123,12,0.008048276150984135,9,0.21373238035545533,10,5,normal,False,True,False,0.07034772859256169,0.08557970775089467,0.07796371817172817
conn_state,0.6139696421892042,4,0.6548968670239327,6,0.007091555817918494,10,1.001224450605037,2,5,normal,True,True,True,0.31225746041651686,0.07540661664826338,0.19383203853239012
src_pkts,0.6675654625975149,3,1.6480748960646159,2,0.09404421167703739,1,0.34503084440975285,6,5,normal,True,True,True,0.7858087395653176,1.0,0.8929043697826589
src_ip_bytes,0.9157765357859724,1,0.9792657958557262,3,0.013888176133667418,6,1.7985686875346651,1,5,normal,True,True,True,0.4669178704064463,0.14767709661240608,0.3072974835094262
dst_pkts,0.43472671594848056,5,0.8219881935657991,5,0.01194772141897984,7,0.3083056293037751,7,5,normal,True,True,True,0.391927277010224,0.12704366601540767,0.25948547151281587
dst_ip_bytes,0.34895463658999737,7,0.3243315134335174,9,0.023066330315733064,5,0.47135441250270754,4,5,normal,True,True,True,0.15464257017753386,0.24527113263436637,0.1999568514059501
dns_query,0.33393850277104253,8,0.870232463105808,4,0.008420684002174616,8,0.23708077438241887,9,5,normal,True,True,True,0.41493033878187635,0.08953963090352195,0.25223498484269913
dns_qclass,0.011993156832739497,18,0.006251801189402289,18,0.0,18,0.006615281678890859,18,5,normal,False,False,False,0.0029808839539926793,0.0,0.0014904419769963396
dns_qtype,0.02666413550529978,16,0.18285862243311013,10,3.14078074710844e-05,16,0.01211968321655753,17,5,normal,True,False,False,0.08718772669611664,0.0003339685336397284,0.04376084761487819
dns_rcode,0.01649697786060328,17,0.008238123570912918,17,0.00021976804263152961,13,0.023254389568787247,15,5,normal,False,False,False,0.003927970455165894,0.002336858789207013,0.0031324146221864534
dns_AA,0.045842803739325706,14,0.0724492257371584,16,0.0003623351112324702,12,0.0235338103312088,14,5,normal,False,False,False,0.03454408224707738,0.0038528167206801195,0.019198449483878752
dns_RD,0.0359023512844146,15,0.16492656428562905,11,7.135527283612664e-05,15,0.018697463973080343,16,5,normal,False,False,False,0.07863764924251794,0.0007587417828666783,0.03969819551269231
dns_RA,0.08207394306075351,13,0.12249411539684232,15,0.0001112881415663125,14,0.0505208623989879,12,5,normal,False,False,False,0.058405686934501606,0.0011833598217452605,0.02979452337812343
dns_rejected,0.0825936102506502,12,0.1337988668715997,13,5.717792444137615e-06,17,0.04021014055472282,13,5,normal,False,False,False,0.06379583790924831,6.079898318222299e-05,0.03192831844621526
proto,0.17026707389418783,10,0.019300968428390054,14,0.00011373628501656352,15,0.271515496702724,8,6,password,False,False,False,0.006109327651191779,0.0003650271379677453,0.003237177394579762
service,0.1942609814045876,8,0.1703818619400297,10,0.0005191608202825381,10,0.1254928627291434,11,6,password,True,True,True,0.053930901150051225,0.0016662034314302045,0.027798552290740713
duration,0.33836818011285297,6,0.766508800380529,6,0.010101086987393782,5,0.6406316954085823,3,6,password,True,True,True,0.24262271742585378,0.03241859774859554,0.13752065758722465
src_bytes,0.837602029213879,3,2.3898600954673466,2,0.3115830939304396,1,0.45461939666942736,5,6,password,True,True,True,0.7564614396364953,1.0,0.8782307198182476
dst_bytes,0.16765227626614254,11,0.07815233691323317,11,0.002824606596150625,8,0.21373238035545533,10,6,password,False,True,False,0.02473752727386319,0.00906533971570747,0.01690143349478533
conn_state,0.8558414293901928,2,1.1504260968766282,4,0.04284472912439916,3,1.001224450605037,2,6,password,True,True,True,0.36414390243563904,0.1375065912079433,0.2508252468217912
src_pkts,0.3219737119570957,7,0.27672798769566537,8,0.007236135360069928,6,0.34503084440975285,6,6,password,True,True,True,0.08759259688757524,0.023223774014149122,0.05540818545086218
src_ip_bytes,2.037747582206784,1,3.159262283898771,1,0.18221049207210263,2,1.7985686875346651,1,6,password,True,True,True,1.0,0.584789404885943,0.7923947024429715
dst_pkts,0.35263939182942394,5,1.0646548052761486,5,0.002276569034996867,9,0.3083056293037751,7,6,password,True,True,True,0.33699475054735983,0.007306458788502521,0.17215060466793117
dst_ip_bytes,0.5274091352069448,4,1.6045737186945566,3,0.002956641320930031,7,0.47135441250270754,4,6,password,True,True,True,0.5078950636268129,0.009489094172709179,0.25869207889976104
dns_query,0.17047354290970607,9,0.2751963862568206,9,0.01174821778179993,4,0.23708077438241887,9,6,password,True,True,True,0.08710779970987632,0.037704926906023666,0.06240636330794999
dns_qclass,0.004360588466695757,17,0.00018192540562861996,18,0.0,18,0.006615281678890859,18,6,password,False,False,False,5.758477431766447e-05,0.0,2.8792387158832234e-05
dns_qtype,0.014395280988782655,16,0.02736066226365102,12,0.00010411898647193496,16,0.01211968321655753,17,6,password,False,False,False,0.008660459248064035,0.00033416121894976546,0.0044973102335069005
dns_rcode,0.014455003910867067,15,0.00620999169475883,16,0.0001859702516977313,14,0.023254389568787247,15,6,password,False,False,False,0.0019656461340383635,0.0005968560403962381,0.0012812510872173008
dns_AA,0.0012944299359420037,18,0.02493390515222866,13,0.00032328403886188183,11,0.0235338103312088,14,6,password,False,False,False,0.007892318811041644,0.0010375532086283681,0.004464936009835006
dns_RD,0.015033215764640392,14,0.008655581242534316,15,5.086182521156779e-05,17,0.018697463973080343,16,6,password,False,False,False,0.002739747594445583,0.0001632367936590379,0.0014514921940523104
dns_RA,0.13557152054547683,12,0.5290396875763232,7,0.0003019863108385312,12,0.0505208623989879,12,6,password,True,False,False,0.16745671616838595,0.0009691999236195695,0.08421295804600276
dns_rejected,0.026519281656750698,13,0.0011455699292638847,17,0.0001963989906743402,13,0.04021014055472282,13,6,password,False,False,False,0.00036260678168517364,0.0006303262099264794,0.0004964664958058265
proto,0.26529718654163426,7,0.21866706526287913,7,0.02429093395048796,7,0.271515496702724,8,7,ransomware,True,True,True,0.04456077448424635,0.09351780026323409,0.06903928737374021
service,0.028361732013974728,13,0.02945432788195244,11,2.480393466979258e-05,12,0.1254928627291434,11,7,ransomware,False,False,False,0.006002310685218416,9.54928045549839e-05,0.0030489017448867
duration,2.4326833260062717,1,4.907164828119962,1,0.24228137662419416,2,0.6406316954085823,3,7,ransomware,True,True,True,1.0,0.9327604048829762,0.966380202441488
src_bytes,0.20414584385325932,8,0.07270174126267773,9,0.0001378112029010614,11,0.45461939666942736,5,7,ransomware,True,False,False,0.014815426791060389,0.0005305601082777056,0.007672993449669047
dst_bytes,0.09903495202778091,10,0.004359059064121447,16,0.0,13,0.21373238035545533,10,7,ransomware,False,False,False,0.000888305002339099,0.0,0.0004441525011695495
conn_state,1.3461820639155557,2,2.097291907388412,2,0.25974663520863184,1,1.001224450605037,2,7,ransomware,True,True,True,0.42739381717323094,1.0,0.7136969085866155
src_pkts,0.5625664378310609,4,1.6460486587712473,4,0.10169307649904284,4,0.34503084440975285,6,7,ransomware,True,True,True,0.3354378172379189,0.39150873472282577,0.3634732759803723
src_ip_bytes,0.939441414469164,3,2.0324274516521195,3,0.23460526459763034,3,1.7985686875346651,1,7,ransomware,True,True,True,0.4141755010969919,0.9032080989584037,0.6586918000276978
dst_pkts,0.4294549976105821,5,0.5305464471172605,5,0.023745291922626643,8,0.3083056293037751,7,7,ransomware,True,True,True,0.10811669583157736,0.09141713001808136,0.09976691292482937
dst_ip_bytes,0.3110598862161595,6,0.5154111330227168,6,0.04913864436490363,5,0.47135441250270754,4,7,ransomware,True,True,True,0.10503236615758466,0.18917913729829394,0.1471057517279393
dns_query,0.05270618354881865,11,0.00010392763243328438,17,0.024401076245832855,6,0.23708077438241887,9,7,ransomware,False,True,False,2.117875312395024e-05,0.09394183769207866,0.046981508222601304
dns_qclass,0.0102727801550861,16,0.016727547810626416,12,0.0,14,0.006615281678890859,18,7,ransomware,False,False,False,0.0034088008853444384,0.0,0.0017044004426722192
dns_qtype,0.009649640144666068,17,0.005170595674291171,14,0.0,15,0.01211968321655753,17,7,ransomware,False,False,False,0.0010536829015120193,0.0,0.0005268414507560097
dns_rcode,0.008431276347575543,18,0.0,18,0.0,16,0.023254389568787247,15,7,ransomware,False,False,False,0.0,0.0,0.0
dns_AA,0.1034893079483664,9,0.18500883050655692,8,0.0066441003523720395,9,0.0235338103312088,14,7,ransomware,True,True,True,0.03770177627749213,0.025579158502035695,0.031640467389763914
dns_RD,0.03248400798056783,12,0.043057664600753436,10,0.0007852606262021666,10,0.018697463973080343,16,7,ransomware,True,True,True,0.008774448405322821,0.0030231792052722267,0.005898813805297524
dns_RA,0.023469329092575757,15,0.01624406601622896,13,0.0,17,0.0505208623989879,12,7,ransomware,False,False,False,0.0033102751966153955,0.0,0.0016551375983076978
dns_rejected,0.025252945474975873,14,0.005122721127247292,15,0.0,18,0.04021014055472282,13,7,ransomware,False,False,False,0.0010439268511813805,0.0,0.0005219634255906903
proto,0.42340628558735716,3,0.17791126053707987,6,0.10033490234991375,2,0.271515496702724,8,8,scanning,True,True,True,0.015843285218188233,0.1276908688516626,0.07176707703492541
service,0.05370702606128365,11,0.008516331833417764,15,7.109898008081928e-05,17,0.1254928627291434,11,8,scanning,False,False,False,0.0007583931103756777,9.048387279358996e-05,0.0004244384915846338
duration,0.3637532647227675,4,0.7287398073300457,2,0.006791322015331791,5,0.6406316954085823,3,8,scanning,True,True,True,0.06489545733374837,0.008642952636410137,0.036769204985079254
src_bytes,0.17236690584663297,7,0.045020147830112746,9,0.0018750068031591072,7,0.45461939666942736,5,8,scanning,True,True,True,0.004009116907407987,0.0023862209678860618,0.0031976689376470246
dst_bytes,0.09821215496392474,10,0.03449181428583382,10,0.0013349484928199206,8,0.21373238035545533,10,8,scanning,True,True,True,0.0030715517937064583,0.0016989176141909072,0.0023852347039486827
conn_state,0.7053174648927955,2,0.6345822121494651,3,0.08026565941685473,3,1.001224450605037,2,8,scanning,True,True,True,0.05651057134395046,0.10214981576546703,0.07933019355470874
src_pkts,0.1982485140048996,6,0.32134330008656564,4,0.00032359427745030087,14,0.34503084440975285,6,8,scanning,True,False,False,0.02861614009622639,0.00041182114573603716,0.014513980620981214
src_ip_bytes,3.7946733336406226,1,11.229442510625015,1,0.7857641133797277,1,1.7985686875346651,1,8,scanning,True,True,True,1.0,1.0,1.0
dst_pkts,0.1697544671172369,8,0.10968448770844717,8,0.0009208700733939201,9,0.3083056293037751,7,8,scanning,True,True,True,0.009767580857613055,0.0011719421359586847,0.0054697614967858695
