class_id,class_name,feature,selection_sources,mean_abs_shap,cpf_importance_mean,consensus_score
4,mitm,duration,shap_intersection_cpf,1.6097042078433836,0.06895527266418722,0.9151447467383973
4,mitm,src_pkts,shap_intersection_cpf,0.9717547805459668,0.0790791172811943,0.7892592000723742
4,mitm,dns_query,shap_intersection_cpf,1.2041770260317064,0.06480645752134066,0.7682006887467084
4,mitm,src_ip_bytes,shap_intersection_cpf,1.504163920034997,0.03860256907543995,0.6918153795406513
4,mitm,dst_ip_bytes,shap_intersection_cpf,1.6797301180097797,0.015993477114352374,0.6011232653083481
4,mitm,src_bytes,shap_intersection_cpf,1.222058720591445,0.032221056172217245,0.5674930955741546
4,mitm,dst_bytes,shap_intersection_cpf,0.9129835482149553,0.034844481790101,0.49207900528004267
4,mitm,conn_state,shap_intersection_cpf,0.6389492380220007,0.01478600023631873,0.28368266976620204
4,mitm,service,shap_intersection_cpf,0.499073230457048,0.011475979405252112,0.2211176776403468
5,normal,src_pkts,shap_intersection_cpf,2.7666944038298795,0.10218082613741668,1.0
5,normal,proto,shap_intersection_cpf,2.227164002206721,0.05822638890024094,0.6874138534736949
5,normal,conn_state,shap_intersection_cpf,1.0100179484050802,0.052312606970600715,0.4385120784407925
5,normal,dns_query,shap_intersection_cpf,1.5793860577334566,0.005009957415578104,0.3099435078843254
5,normal,dst_ip_bytes,shap_intersection_cpf,0.5453929120241187,0.037113717726895354,0.2801720291285625
5,normal,duration,shap_intersection_cpf,0.9507445572791692,0.01843693883676094,0.26203679656744194
5,normal,dst_pkts,shap_intersection_cpf,1.0867697846448234,0.009047786357909348,0.2406756147055874
5,normal,src_ip_bytes,shap_intersection_cpf,0.8163179634152449,0.017404513455077052,0.2326911247716142
6,password,src_bytes,shap_intersection_cpf,3.2757029754108005,0.3081944261653611,0.8120466223956239
6,password,src_ip_bytes,shap_intersection_cpf,5.248739675922124,0.1790201117034385,0.7904337270645279
6,password,conn_state,shap_intersection_cpf,1.6782204301682286,0.07956607863992145,0.28895312273336465
6,password,duration,shap_intersection_cpf,1.1095279029865743,0.002329650479971246,0.1094742116428861
6,password,dst_bytes,shap_intersection_cpf,0.5192530290528018,0.0008922515340438197,0.050912090490882654
6,password,dns_query,shap_intersection_cpf,0.393868253692391,0.001581176022167252,0.040085494321092395
6,password,service,shap_intersection_cpf,0.24698936692183263,0.0007168066251810323,0.024691358154472435
